NCT ID,Title,Phase,Drug Names,Modality,Target,Indication,Status,Sponsor,Start Date,Primary Completion,Milestone,Probability,Phase_Num,Modality_Code,ML_Prediction,Phase Weight
NCT03902665,Up-front Hematopoietic Stem Cell Transplantation in Acute Myeloid Leukemia Patients Aged 65-75,PHASE2,Up-front allogeneic hematopoietic stem cell transplantation (HSCT),Other,Unknown,Leukemia,COMPLETED,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,2019-03-15,2024-03-31,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT02998567,Combination Study of Guadecitabine/ASTX727 and Pembrolizumab,PHASE1,"Guadecitabine, Pembrolizumab, ASTX727",Other,Unknown,Solid Tumor,RECRUITING,Royal Marsden NHS Foundation Trust,2017-01-26,2026-09,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT05400265,"Evaluate the Safety, Tolerability, Pharmacokinetic Characteristics and Preliminary Efficacy of HLX26 and HLX10 in Patients With Advanced/Metastatic Solid Tumor",PHASE1,"HLX26, HLX10",Other,Unknown,Solid Tumor,COMPLETED,Shanghai Henlius Biotech,2022-07-26,2023-08-31,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT03013712,A Clinical Research of CAR T Cells Targeting EpCAM Positive Cancer,"PHASE1, PHASE2",,CAR-T,Unknown,Solid Tumor,UNKNOWN,First Affiliated Hospital of Chengdu Medical College,2017-01,2018-12,Long-term,0.3,1.0,2,0.1626669915300076,3
NCT03420430,Expanded Access to Provide GL-ONC1 for the Treatment of Advanced Cancers With No Standard of Care,,,CAR-T,Unknown,Leukemia,NO_LONGER_AVAILABLE,Genelux Corporation,,,Unknown,0.1,,2,0.07698823195888042,1
NCT03226119,MP Diagnostics HTLV Blot 2.4 Post-Market Clinical Study,PHASE4,,Other,Unknown,Lymphoma,COMPLETED,"MP Biomedicals, LLC",2018-01-15,2018-07-10,Long-term,0.05,4.0,3,0.04999999999999991,1
NCT00243100,Vorinostat and Gemcitabine in Treating Patients With Metastatic or Unresectable Solid Tumors,PHASE1,"vorinostat, gemcitabine hydrochloride",Other,Unknown,Solid Tumor,COMPLETED,National Cancer Institute (NCI),2005-11,2011-08,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT04345900,Plinabulin vs. Pegfilgrastim in Patients With Solid Tumors Receiving Docetaxel Myelosuppressive Chemotherapy Phase 2,PHASE2,"Plinabulin, Pegfilgrastim",Other,Unknown,Solid Tumor,COMPLETED,BeyondSpring Pharmaceuticals Inc.,2017-04-05,2018-03-20,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT00931138,"Treatment of Acute Myeloid Leukemia (AML) in Adults 50 to 70 Years, Study of Two Anthracyclines and the Interest of Maintenance Treatment With Interleukin 2",PHASE3,"chemotherapy (Aracytine + Daunorubicin), chemotherapy (Aracytine + Daunorubicin), chemotherapy (Aracytine + Daunorubicin)",Other,Unknown,Leukemia,COMPLETED,Acute Leukemia French Association,1999-12,,Unknown,0.6,3.0,3,0.600000000000001,5
NCT01226407,Examine Maximum Tolerated Dose and Pharmacokinetic and Pharmacodynamic Profile,PHASE1,CG200745,Other,Unknown,Other,UNKNOWN,"CrystalGenomics, Inc.",2010-09,2013-02,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT00470405,Pemetrexed and Oxaliplatin in Treating Patients With Metastatic Solid Tumors or Lymphoma,PHASE1,"oxaliplatin, pemetrexed disodium",Other,Unknown,Lymphoma,COMPLETED,Vanderbilt-Ingram Cancer Center,2004-05,2007-05,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT05787951,Frequency and Risk Factors of Acute Myeloid Leukemia,,,Other,Unknown,Leukemia,UNKNOWN,Assiut University,2023-05-01,2025-05-01,Long-term,0.1,,3,0.07471722255609645,1
NCT00739453,A Phase 1 Dose-escalation Study of OSI-906 and Erlotinib (Tarceva®),PHASE1,"OSI-906, erlotinib",Other,Unknown,Solid Tumor,COMPLETED,Astellas Pharma Inc,2008-10-23,2012-03-03,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT05378737,"Evaluate the Safety, Tolerability and Pharmacokinetic Characteristics of BAT8006 for Injection",PHASE1,BAT8006 for Injection,Other,Unknown,Solid Tumor,COMPLETED,Bio-Thera Solutions,2022-07-06,2025-12-08,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT05174637,A Study of FDA018-ADC in Patients With Advanced Solid Tumors,PHASE1,FDA018-ADC,ADC,Unknown,Solid Tumor,ACTIVE_NOT_RECRUITING,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",2021-10-22,2029-12,Long-term,0.1,1.0,0,0.17008722943722948,1
NCT06292845,Ex Vivo Tumor Visualization and Resection Margin Assessment Using Topically Applied Fluorescent Imaging Agents,NA,Topical application of a fluorescent imaging agent,Other,Unknown,Solid Tumor,RECRUITING,Erasmus Medical Center,2024-01-16,2027-12-01,Long-term,0.05,,3,0.07471722255609645,1
NCT06152172,CARTIMMUNE: Study of Patients With Autoimmune Diseases Receiving KYV-101,PHASE1,"KYV-101, Cyclophosphamide, Fludarabine",CAR-T,Unknown,Other,ACTIVE_NOT_RECRUITING,David Porter,2024-08-05,2026-02,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT06552572,Glofitamab in Relapsed or Refractory Diffuse Large B-cell Lymphoma After CD19 Chimeric Antigen Receptor T-cell Therapy,PHASE2,Glofitamab,Other,CD19,Lymphoma,ACTIVE_NOT_RECRUITING,Samsung Medical Center,2024-11-26,2026-06-30,Long-term,0.3,2.0,3,0.3133375460709372,3
NCT01949545,Study of the Pharmacokinetics and Safety of Carfilzomib in Patients With Advanced Malignancies and Hepatic Impairment,PHASE1,Carfilzomib,CAR-T,Unknown,Solid Tumor,COMPLETED,Amgen,2013-10,2015-08,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT01757639,Ipilimumab in Treating Patients With Relapsed or Refractory High-Risk Myelodysplastic Syndrome or Acute Myeloid Leukemia,PHASE1,,Other,Unknown,Leukemia,COMPLETED,National Cancer Institute (NCI),2012-12-14,2016-12-31,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT02897375,Palbociclib With Cisplatin or Carboplatin in Advanced Solid Tumors,PHASE1,"Carboplatin, Cisplatin, Palbociclib",CAR-T,Unknown,Solid Tumor,COMPLETED,Emory University,2016-10-24,2021-10-15,Long-term,0.1,1.0,2,0.1626669915300076,1
NCT00807677,A Phase 1 Dose Escalation Study of TAK-901 in Subjects With Advanced Hematologic Malignancies,PHASE1,TAK-901,Other,Unknown,Lymphoma,COMPLETED,"Millennium Pharmaceuticals, Inc.",2009-03,2012-09,Long-term,0.1,1.0,3,0.15123598159865156,1
NCT06113575,Practical Application of Accelerated iTBS for MDD,NA,,Other,Unknown,Other,COMPLETED,Sonder Behavioral Health and Wellness,2022-11-23,2023-07-28,Long-term,0.05,,3,0.07471722255609645,1
NCT00208975,"Phase II Study of Fludarabine and Mitoxantrone, Followed by GM-CSF(Granulocyte-macrophage Colony-stimulating Factor) and Rituximab",PHASE2,"Mitoxantrone/Cyclophosphamide, Fludarabine, Rituximab and GM-CSF",Other,Unknown,Lymphoma,TERMINATED,Emory University,2002-07,2009-12,Long-term,0.3,2.0,3,0.3133375460709372,3
